,title,desc,date,datetime,link,img,media,site
0,The Inside Story of Microsoft's Partnership with OpenAI,,3 days ago,2023-12-01 07:16:16.417645,news.google.com/articles/CBMiZGh0dHBzOi8vd3d3Lm5ld3lvcmtlci5jb20vbWFnYXppbmUvMjAyMy8xMi8xMS90aGUtaW5zaWRlLXN0b3J5LW9mLW1pY3Jvc29mdHMtcGFydG5lcnNoaXAtd2l0aC1vcGVuYWnSAQA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/uS28FicKfOopgCE2pdyROuGdo97U-yDrRj1FvCgIHoXG-29t8krUkdK5UjQZsWzqcKHAvqnEB7R0Z4BLlHwlm-g12kO17_SUIgogWYVoAXyeegtVuETWNgJ-A83ns9y_2KHFCTSXJkN7LAlbCfIUn-lGSXEBO_gYImZw3A=s0-w200-h112-dcpVSIraEH,The New Yorker,
1,Microsoft secures nonvoting board seat at OpenAI,,5 days ago,2023-11-29 07:16:16.418681,news.google.com/articles/CBMiV2h0dHBzOi8vd3d3LmNuYmMuY29tLzIwMjMvMTEvMjkvbWljcm9zb2Z0LXNlY3VyZXMtbm9uLXZvdGluZy1ib2FyZC1zZWF0LWF0LW9wZW5haS0uaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/mpOzLArvzA_DiPYfvJGw5H18aVpmnfANxWrRBzXVke2c9qK80XTCI8xw0dp6tTApXlX00gOc-Ln-rDse32ODSHx1TeGgBbR8hM2E5R7wVT7cM2dv3JClvk4KCXf3G-9aiZP3tuDP15QVJmex-qEiokOqQqbeNCPR1_YgbZ1LBlFec0lRt7xWmsEG9HmwlmywRLIYjwoN5meY2Ww2LeHq1e_c1mQWZnfNc0gCq-Ck4Tw=s0-w200-h112-dcKWSMrrEG,CNBC,
2,Microsoft Needs a Better Seat at OpenAI's Table,,Nov 27,,news.google.com/articles/CBMiU2h0dHBzOi8vd3d3Lndzai5jb20vdGVjaC9haS9taWNyb3NvZnQtbmVlZHMtYS1iZXR0ZXItc2VhdC1hdC1vcGVuYWlzLXRhYmxlLTY0YmMzYzNi0gEA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/sz4LchRkDTM3yHgB8m3TJM8taLfs0B6lzWCH6NbHLSP1P_pownzJ8AHc15qIIbV8gdQXktdnRymcrAsXesZHKS_zI3YqX7ZC-TvTk8XLfFo=s0-w200-h112-dciVOWpqII,The Wall Street Journal,
3,"AWS unveils 'Amazon Q' AI assistant, jabs at Microsoft and OpenAI ...",,6 days ago,2023-11-28 07:16:16.420499,news.google.com/articles/CBMiaWh0dHBzOi8vd3d3LmdlZWt3aXJlLmNvbS8yMDIzL2F3cy11bnZlaWxzLWFtYXpvbi1xLWFpLWFzc2lzdGFudC1qYWJzLWF0LW1pY3Jvc29mdC1hbmQtb3BlbmFpLWF0LXJlaW52ZW50L9IBAA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/Fh0tzA8w2xg33TkQkSKzmeo92ddVDajJxncbWbsXiMH9IV0gomHO4Kd7GbEzh9Y0muPnuVzjlag5g_yg2PJ6Ba-IUvVuelEwv69FKcJ8Fq1_h52J9WWQdGzTvQ=s0-w200-h112-dcGUIM,GeekWire,
4,AI wars: Amazon is coming for Microsoft and Google,,4 days ago,2023-11-30 07:16:16.421417,news.google.com/articles/CBMiX2h0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9haS13YXJzLWFtYXpvbi1pcy1jb21pbmctZm9yLW1pY3Jvc29mdC1hbmQtZ29vZ2xlLTIxMTQzNjE5Ny5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/AklVboCX3GMyekmUg-lgUjTQQ1nHDh4jVROdglq3WjA5NNB_9mTRrD3gypXWt-7hK8RNaqNaD4hrQukQ8xzDhE-VxahIs55uaVKqiisDxhDWX7gEnYgZ-jIYCs2WRr-Sf660eHNfJM54CLdT54nWAPlyVu0-ovTGS9LcVSlw1ZYqL9nHQPLchdajtESSrhpvTokC9zNFhZFP4UdMHTpQjKejE7RmzX2QqiwonD2npnfKSCRm9qyJ61UbJIfnm_vNd6lLWGf4Wh31hE1cFaQKdoj1H7M1rXiA7A=s0-w200-h112-dcARCCaw1jLdJ4LD0,Yahoo Finance,
5,Amazon Q: AWS' answer to Microsoft’s GPT-driven Copilot,,6 days ago,2023-11-28 07:16:16.422292,news.google.com/articles/CBMiaGh0dHBzOi8vd3d3LmNvbXB1dGVyd29ybGQuY29tL2FydGljbGUvMzcxMTI2Ny9hbWF6b24tcS1hd3MtYW5zd2VyLXRvLW1pY3Jvc29mdC1zLWdwdC1kcml2ZW4tY29waWxvdC5odG1s0gFsaHR0cHM6Ly93d3cuY29tcHV0ZXJ3b3JsZC5jb20vYXJ0aWNsZS8zNzExMjY3L2FtYXpvbi1xLWF3cy1hbnN3ZXItdG8tbWljcm9zb2Z0LXMtZ3B0LWRyaXZlbi1jb3BpbG90LmFtcC5odG1s?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/1UXow39aQQS5V18tvGy6yNfzhJcjTY8hxOjXMt-6m67OUQMFnxkF5Ct4EXxtesRJrhn4MyN99PY-x3fUR-BNuLtWxqYFeS9zsIg9Ego6LBPxJ4seWtPCoUYZlAx3k2pcNet5uE5KEy2rpc8qB0hzE9rC2Nv9ZabzqoXrrxyElt9_Ug=s0-w200-h112-dcoaSUzbkG,Computerworld,
6,"Our investment in AI infrastructure, skills and security to boost the ...",,4 days ago,2023-11-30 07:16:16.423159,news.google.com/articles/CBMiZGh0dHBzOi8vYmxvZ3MubWljcm9zb2Z0LmNvbS9vbi10aGUtaXNzdWVzLzIwMjMvMTEvMzAvdWstYWktc2tpbGxpbmctc2VjdXJpdHktZGF0YWNlbnRlcnMtaW52ZXN0bWVudC_SAQA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/tAgjBdzNIMtl-S2RGfkxqDidmZzo7MGsUZDBiZVlN-uLvT6chfUv819Z_5BmZyT4RED_d7q4m8CdK_onmJ_xu7l-ksXqPEIqmPWJipbrv2Kg3zEM1cwcoJyPEBqiHxCLeugzW1KeXH2VKLE=s0-w200-h112-dcAXAI,Microsoft,
7,Microsoft president says no chance of super-intelligent AI soon,,4 days ago,2023-11-30 07:16:16.424023,news.google.com/articles/CBMiamh0dHBzOi8vd3d3LnJldXRlcnMuY29tL3RlY2hub2xvZ3kvbWljcm9zb2Z0LXByZXNpZGVudC1zYXlzLW5vLWNoYW5jZS1zdXBlcmludGVsbGlnZW50LWFpLXNvb24tMjAyMy0xMS0zMC_SAQA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/djwZFxkLnOGLL2fQi_xzYegHjpfOvXu5odj0tlic0Ap4wWWeYr6I1VZ19_dnBKuRN2bJR6eZNljdFbKyhLxbjmAp8QYseL8oCNOtjdSrSxUKG_qwK6UjkAnQO7mkLjzNI77Gv_RfFthPOHM_iRal3foRap-TF0g=s0-w200-h112-dcPWOMUqkG,Reuters,
8,Fake AI-generated woman on tech conference agenda leads ...,,6 days ago,2023-11-28 07:16:16.424916,news.google.com/articles/CBMibmh0dHBzOi8vYXBuZXdzLmNvbS9hcnRpY2xlL3RlY2gtY29uZmVyZW5jZS1mYWtlLXdvbWVuLWFpLWdlbmVyYXRlZC1kZXZ0ZXJuaXR5LTk4ZWQ1NTFlOTBlYzQ5ZTgxNTg5Y2M5Mjg3MTVhZTNj0gEA?hl=en-US&gl=US&ceid=US%3Aen,,The Associated Press,
9,Exclusive: Google pushes for antitrust action against Microsoft in UK ...,,4 days ago,2023-11-30 07:16:16.425848,news.google.com/articles/CBMib2h0dHBzOi8vd3d3LnJldXRlcnMuY29tL3RlY2hub2xvZ3kvZ29vZ2xlLXB1c2hlcy1hbnRpdHJ1c3QtYWN0aW9uLWFnYWluc3QtbWljcm9zb2Z0LXVrLWNsb3VkLW1hcmtldC0yMDIzLTExLTMwL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/5t2jukl5JEGLI2S5gSagWubfT1rYcr_UVbO9V4jvvizVTjQMdNUiWi8XlirEpero6EUpLVJNmS4l3CBtQPSeRd8J-_hji7FxSGsaWmxt4C7Ycsp3-q8wQCusxMi7DCayM8GGIR9hd5062MnCrlx_zegWrBJvIzc=s0-w200-h112-dcgYCOhTQmmWsC,Reuters,
